name	coverage_before_LINE	coverage_after_LINE	gene	strand_exon	strand_LINE
ENST00000373381.9	0.106461	0.058654371739130434	CSMD2	-	+
ENST00000619121.4	0.106461	0.05865498913043478	CSMD2	-	+
ENST00000373388.7	0.106461	0.06409174444444445	CSMD2	-	+
ENST00000370859.8	9.78935	22.117994444444445	SLC44A5	-	+
ENST00000370855.5	9.78935	19.473011111111113	SLC44A5	-	+
ENST00000370360.8	39.13513625	76.57196666666667	GLMN	-	+
ENST00000431862.1	1.01754	0.5868763333333333	ENSG00000228560	-	+
ENST00000367669.8	81.778523125	100.5985	COP1	-	+
ENST00000308769.12	87.26446666666666	79.46402499999999	COP1	-	+
ENST00000303635.12	122.2306	1.9368400555555556	CAMTA1	+	-
ENST00000700415.1	110.25625	1.910717947368421	CAMTA1	+	-
ENST00000476864.2	135.7472	2.133157117647059	CAMTA1	+	-
ENST00000700417.1	137.898	2.2679356875	CAMTA1	+	-
ENST00000636203.1	0.283019	28.15884086666667	KAZN	+	-
ENST00000359600.6	1.13866	3.7299631538461537	ZSWIM5	-	+
ENST00000371839.6	2.0342968	2.6454244444444446	AGBL4	-	+
ENST00000371838.5	2.0432414	2.08109275	AGBL4	-	+
ENST00000371836.1	2.0471794	2.0067195	AGBL4	-	+
ENST00000493793.2	177.04057777777777	230.01125	EPS15	-	+
ENST00000371730.6	150.7281052631579	230.01125	EPS15	-	+
ENST00000371733.8	155.69467142857144	230.01125	EPS15	-	+
ENST00000706287.1	145.38357136363638	230.4475	EPS15	-	+
ENST00000706288.1	155.85629	230.60174999999998	EPS15	-	+
ENST00000706292.1	151.2947619047619	246.48775	EPS15	-	+
ENST00000646341.1	0.0	0.0	ENSG00000234810	+	-
ENST00000443012.1	0.0	0.518127	ENSG00000226883	-	+
ENST00000635290.1	0.5079516666666667	2.355687333333333	ENSG00000231252	-	+
ENST00000634701.1	0.43538714285714286	1.1605893333333333	ENSG00000231252	-	+
ENST00000329654.8	1.133209	43.266310000000004	PDE4B	+	-
ENST00000341517.9	1.2580916666666666	42.97615285714286	PDE4B	+	-
ENST00000423207.6	9.61773	42.97828857142857	PDE4B	+	-
ENST00000420587.5	1.704691	25.050799857142856	GNG12-AS1	+	-
ENST00000413628.5	1.7533843333333332	24.417659833333335	GNG12-AS1	+	-
ENST00000661832.1	0.0	0.0	LINC01707	+	-
ENST00000557284.7	14.802955461538462	0.43409764285714286	FPGT-TNNI3K	+	-
