name	coverage_before_LINE	coverage_after_LINE	gene	strand_transcript	strand_LINE
ENST00000373381.9	0.0681904	0.04851463260869565	CSMD2	-	+
ENST00000619121.4	0.0681904	0.0485154	CSMD2	-	+
ENST00000373388.7	0.0681904	0.04960140666666667	CSMD2	-	+
ENST00000370859.8	5.878083333333333	14.810553333333333	SLC44A5	-	+
ENST00000370855.5	5.878083333333333	13.316469999999999	SLC44A5	-	+
ENST00000370360.8	37.9188	60.3576	GLMN	-	+
ENST00000431862.1	0.0	0.3850604666666667	ENSG00000228560	-	+
ENST00000367669.8	69.2257525	87.92505	COP1	-	+
ENST00000308769.12	73.96596	68.461825	COP1	-	+
ENST00000303635.12	70.041622	1.5919591666666666	CAMTA1	+	-
ENST00000700415.1	61.0790525	1.5334634210526317	CAMTA1	+	-
ENST00000476864.2	75.95250200000001	1.7182814705882352	CAMTA1	+	-
ENST00000700417.1	77.222442	1.8190909375	CAMTA1	+	-
ENST00000636203.1	1.367925	23.691663066666667	KAZN	+	-
ENST00000359600.6	1.19389	3.033983846153846	ZSWIM5	-	+
ENST00000371839.6	1.636104	0.7036796666666667	AGBL4	-	+
ENST00000371838.5	1.636104	0.86123125	AGBL4	-	+
ENST00000371836.1	1.636104	1.30488	AGBL4	-	+
ENST00000493793.2	110.79572222222222	170.77175	EPS15	-	+
ENST00000371730.6	94.43538947368421	170.77175	EPS15	-	+
ENST00000371733.8	98.32581904761905	170.77175	EPS15	-	+
ENST00000706287.1	91.16339090909091	171.073	EPS15	-	+
ENST00000706288.1	97.472555	171.17875	EPS15	-	+
ENST00000706292.1	95.17480952380953	179.73225	EPS15	-	+
ENST00000646341.1	0.0	0.48594333333333334	ENSG00000234810	+	-
ENST00000443012.1	0.0	0.465257	ENSG00000226883	-	+
ENST00000635290.1	0.0	0.054083	ENSG00000231252	-	+
ENST00000634701.1	0.0	0.0	ENSG00000231252	-	+
ENST00000329654.8	0.0	30.12161	PDE4B	+	-
ENST00000341517.9	0.0	29.94711714285714	PDE4B	+	-
ENST00000423207.6	11.0596	29.94861714285714	PDE4B	+	-
ENST00000420587.5	1.259949	17.544380571428572	GNG12-AS1	+	-
ENST00000413628.5	0.9224800000000001	18.417952333333332	GNG12-AS1	+	-
ENST00000661832.1	0.0	0.0	LINC01707	+	-
ENST00000557284.7	9.942028538461539	0.7637757142857143	FPGT-TNNI3K	+	-
ENST00000370899.7	10.057036230769231	0.9720781818181818	FPGT-TNNI3K	+	-
ENST00000326637.8	1.1544846363636363	0.7637757142857143	TNNI3K	+	-
ENST00000328299.4	2.6584166666666667	3.125215	ST6GALNAC3	+	-
ENST00000370801.8	24.6114	65.32648	ZZZ3	-	+
ENST00000370798.5	21.913	69.9303	ZZZ3	-	+
ENST00000370721.5	0.33018866666666663	51.92190045454545	ADGRL2	+	-
ENST00000370723.5	0.33018866666666663	52.22480954545455	ADGRL2	+	-
ENST00000370725.5	0.33018866666666663	50.290035217391306	ADGRL2	+	-
ENST00000370727.5	0.33018866666666663	52.46720454545454	ADGRL2	+	-
ENST00000370728.5	0.33018866666666663	52.187636818181815	ADGRL2	+	-
ENST00000370730.5	0.33018866666666663	54.55884285714286	ADGRL2	+	-
ENST00000650063.1	0.0	0.0	ENSG00000233290	-	+
ENST00000370571.7	1.4944795714285715	1.129999	COL24A1	-	+
ENST00000645056.1	0.24719100000000002	0.026933333333333333	PKN2-AS1	-	+
ENST00000656153.1	0.0	0.0	ARHGAP29-AS1	+	-
ENST00000370192.8	6.62107625	7.994022857142857	DPYD	-	+
ENST00000648951.1	0.0	15.155366666666668	LINC01709	+	-
ENST00000657394.1	0.0	12.181385714285714	LINC01709	+	-
ENST00000663157.1	0.0	0.0	LINC01709	+	-
ENST00000656484.1	0.0	0.0	LINC01709	+	-
ENST00000695767.1	0.674457	147.35353	PDE4DIP	+	-
ENST00000695768.1	0.674457	140.01026045454546	PDE4DIP	+	-
ENST00000706647.1	0.674457	149.54083571428572	PDE4DIP	+	-
ENST00000530472.5	0.724014	176.63406666666666	PDE4DIP	+	-
ENST00000695794.1	1.24262	139.55151	PDE4DIP	+	-
ENST00000524974.5	1.27106	141.290348	PDE4DIP	+	-
ENST00000620605.4	1.25287	94.7211	PDE4DIP	+	-
ENST00000585156.5	1.23228	139.67181217391305	PDE4DIP	+	-
ENST00000650631.1	0.0	22.705648833333335	LINC00970	-	+
ENST00000715525.1	0.0	20.102257142857145	LINC00970	-	+
ENST00000715526.1	0.0	25.041614285714285	LINC00970	-	+
ENST00000715528.1	0.0	0.04640725	LINC00970	-	+
ENST00000715529.1	0.0	0.030938166666666666	LINC00970	-	+
ENST00000457405.2	0.0	0.04640725	LINC00970	-	+
ENST00000669750.1	1.47841975	0.0	ENSG00000231424	-	+
ENST00000670085.1	1.3127396666666666	0.0495341	ENSG00000231424	-	+
ENST00000664920.1	1.2188162	0.0	ENSG00000231424	-	+
ENST00000688173.1	1.034987076923077	0.68919	DNM3	+	-
ENST00000485254.3	0.9316554666666667	1.5806716666666667	DNM3	+	-
ENST00000627582.3	0.9982022857142857	1.2656902857142858	DNM3	+	-
ENST00000355305.9	0.9316554666666667	1.4948506666666668	DNM3	+	-
ENST00000367731.5	0.9982022857142857	1.4766386666666667	DNM3	+	-
ENST00000520906.5	0.9982022857142857	0.7554525	DNM3	+	-
ENST00000432694.2	0.0	0.0	ENSG00000224228	+	-
ENST00000367649.8	24.114066666666666	52.08578	RASAL2	+	-
ENST00000696605.1	17.872559666666668	51.79048	RASAL2	+	-
ENST00000642319.1	357.63916666666665	108.31332499999999	ACBD6	-	+
ENST00000367595.4	371.19466666666665	305.6905	ACBD6	-	+
ENST00000294854.13	0.0	0.0	RGSL1	+	-
ENST00000655976.1	0.0	0.0	LINC01350	-	+
ENST00000439633.7	0.0	0.0	LINC01350	-	+
ENST00000665129.1	0.0	0.0	LINC01350	-	+
ENST00000656143.1	0.0	0.0	ENSG00000227240	+	-
ENST00000538004.5	121.78961111111111	217.125	NEK7	+	-
ENST00000367385.9	122.73087777777778	234.57	NEK7	+	-
ENST00000367007.5	0.0	0.3187676	KCNH1	-	+
ENST00000638498.1	0.0	0.3179538	KCNH1	-	+
ENST00000271751.10	0.0	0.2145125	KCNH1	-	+
ENST00000639952.1	0.0	0.21454925	KCNH1	-	+
ENST00000640044.1	0.0	0.2054715	KCNH1	-	+
ENST00000640566.1	0.0	0.410943	KCNH1	-	+
ENST00000657470.1	0.4148925	0.0	LYPLAL1-DT	-	+
ENST00000669535.1	0.4148925	0.109189	LYPLAL1-DT	-	+
ENST00000687117.1	0.4148925	0.0	LYPLAL1-DT	-	+
ENST00000652067.1	0.0	0.0	ENSG00000236230	-	+
ENST00000343846.7	2.1360345	2.4780166666666665	SUSD4	-	+
