name	coverage_before_LINE	coverage_after_LINE	gene	strand_transcript	strand_LINE
ENST00000373381.9	0.00605504	0.002347891304347826	CSMD2	-	+
ENST00000619121.4	0.00605504	0.002348804347826087	CSMD2	-	+
ENST00000373388.7	0.00605504	0.0024103777777777775	CSMD2	-	+
ENST00000370859.8	3.4590183333333333	4.654387222222222	SLC44A5	-	+
ENST00000370855.5	3.4590183333333333	4.602046666666666	SLC44A5	-	+
ENST00000370360.8	95.0442	33.7364	GLMN	-	+
ENST00000431862.1	0.0	0.0	ENSG00000228560	-	+
ENST00000367669.8	189.78085000000002	189.2175	COP1	-	+
ENST00000308769.12	201.59628	140.971925	COP1	-	+
ENST00000303635.12	154.821976	17.973866	CAMTA1	+	-
ENST00000700415.1	129.03562	18.063646736842106	CAMTA1	+	-
ENST00000476864.2	169.257496	20.077387529411766	CAMTA1	+	-
ENST00000700417.1	172.31349600000001	21.3203305	CAMTA1	+	-
ENST00000636203.1	0.5113384999999999	0.26472233333333334	KAZN	+	-
ENST00000359600.6	1.11163	25.361061538461538	ZSWIM5	-	+
ENST00000371839.6	0.2139526	0.6322117777777778	AGBL4	-	+
ENST00000371838.5	0.2139526	1.37042925	AGBL4	-	+
ENST00000371836.1	0.2139526	2.0	AGBL4	-	+
ENST00000493793.2	745.2487777777778	1043.42025	EPS15	-	+
ENST00000371730.6	758.2243684210526	1043.42025	EPS15	-	+
ENST00000371733.8	797.5781428571429	1043.42025	EPS15	-	+
ENST00000706287.1	748.9168409090909	1044.1495	EPS15	-	+
ENST00000706288.1	801.1963499999999	1044.4065	EPS15	-	+
ENST00000706292.1	778.4988952380952	1069.84325	EPS15	-	+
ENST00000646341.1	0.0	0.0	ENSG00000234810	+	-
ENST00000443012.1	0.0	0.812689	ENSG00000226883	-	+
ENST00000635290.1	0.0	0.0	ENSG00000231252	-	+
ENST00000634701.1	0.0	0.0	ENSG00000231252	-	+
ENST00000329654.8	0.0	2362.424235	PDE4B	+	-
ENST00000341517.9	0.0	2349.209235	PDE4B	+	-
ENST00000423207.6	0.227147	2349.256377857143	PDE4B	+	-
ENST00000420587.5	0.0	0.0	GNG12-AS1	+	-
ENST00000413628.5	0.0	0.0	GNG12-AS1	+	-
ENST00000661832.1	0.0	0.0	LINC01707	+	-
ENST00000557284.7	13.310620307692307	1.6776766428571428	FPGT-TNNI3K	+	-
ENST00000370899.7	13.390827999999999	2.078871818181818	FPGT-TNNI3K	+	-
ENST00000326637.8	6.487596727272727	1.6776766428571428	TNNI3K	+	-
ENST00000328299.4	8.384803333333332	2.733205	ST6GALNAC3	+	-
ENST00000370801.8	289.9946	545.3519	ZZZ3	-	+
ENST00000370798.5	186.161025	554.1167	ZZZ3	-	+
ENST00000370721.5	0.0	0.0813025	ADGRL2	+	-
ENST00000370723.5	0.0	0.0813025	ADGRL2	+	-
ENST00000370725.5	0.0	0.07776760869565218	ADGRL2	+	-
ENST00000370727.5	0.0	0.0813025	ADGRL2	+	-
ENST00000370728.5	0.0	0.0813025	ADGRL2	+	-
ENST00000370730.5	0.0	0.08517404761904762	ADGRL2	+	-
ENST00000650063.1	0.16371683333333334	0.0	ENSG00000233290	-	+
ENST00000370571.7	3.484337017857143	4.1249275	COL24A1	-	+
ENST00000645056.1	0.41956366666666667	0.6666666666666666	PKN2-AS1	-	+
ENST00000656153.1	0.0	0.0	ARHGAP29-AS1	+	-
ENST00000370192.8	439.39468750000003	303.965	DPYD	-	+
ENST00000648951.1	0.0	14.009644444444445	LINC01709	+	-
ENST00000657394.1	0.0	11.483457142857143	LINC01709	+	-
ENST00000663157.1	0.0	0.0	LINC01709	+	-
ENST00000656484.1	0.0	0.0	LINC01709	+	-
ENST00000695767.1	0.0	5.555214944444445	PDE4DIP	+	-
ENST00000695768.1	0.0	36.928360943181815	PDE4DIP	+	-
ENST00000706647.1	0.0	38.420722011904765	PDE4DIP	+	-
ENST00000530472.5	0.0	6.536942416666667	PDE4DIP	+	-
ENST00000695794.1	0.0	35.54041707608695	PDE4DIP	+	-
ENST00000524974.5	0.0	36.21844545555555	PDE4DIP	+	-
ENST00000620605.4	0.0	3.197526	PDE4DIP	+	-
ENST00000585156.5	0.0	35.55601729347826	PDE4DIP	+	-
ENST00000650631.1	0.0	0.0	LINC00970	-	+
ENST00000715525.1	0.0	0.0	LINC00970	-	+
ENST00000715526.1	0.0	0.0	LINC00970	-	+
ENST00000715528.1	0.0	0.0	LINC00970	-	+
ENST00000715529.1	0.0	0.0	LINC00970	-	+
ENST00000457405.2	0.0	0.0	LINC00970	-	+
ENST00000669750.1	0.32162625	0.0	ENSG00000231424	-	+
ENST00000670085.1	0.24274099999999998	0.0632663	ENSG00000231424	-	+
ENST00000664920.1	0.3186822	0.0	ENSG00000231424	-	+
ENST00000688173.1	18.901217692307693	5.836709	DNM3	+	-
ENST00000485254.3	17.4056826	12.824114999999999	DNM3	+	-
ENST00000627582.3	18.368917142857143	10.571741428571428	DNM3	+	-
ENST00000355305.9	17.41143333333333	11.919241666666666	DNM3	+	-
ENST00000367731.5	18.369392857142856	12.333698333333333	DNM3	+	-
ENST00000520906.5	18.377027857142856	6.5694799999999995	DNM3	+	-
ENST00000432694.2	2.05804	0.23958325	ENSG00000224228	+	-
ENST00000367649.8	0.0	0.095557	RASAL2	+	-
ENST00000696605.1	0.0	0.100451	RASAL2	+	-
