name	index	count_reads	coverage_after	gene
ENST00000373381.9	0.0	0	0.0023478913043478	CSMD2
ENST00000619121.4	0.0	0	0.002348804347826	CSMD2
ENST00000373388.7	0.0	0	0.0024103777777777	CSMD2
ENST00000370859.8	0.0	0	4.654387222222222	SLC44A5
ENST00000370855.5	0.0	0	4.602046666666666	SLC44A5
ENST00000370360.8	1.6006450006521145	54	33.7364	GLMN
ENST00000367669.8	0.12155323899745002	23	189.2175	COP1
ENST00000308769.12	0.1631530533473243	23	140.971925	COP1
ENST00000303635.12	0.0	0	17.973866	CAMTA1
ENST00000700415.1	0.0	0	18.063646736842102	CAMTA1
ENST00000476864.2	0.0	0	20.07738752941177	CAMTA1
ENST00000700417.1	0.0	0	21.3203305	CAMTA1
ENST00000636203.1	0.0	0	0.2647223333333333	KAZN
ENST00000359600.6	0.0788610522854843	2	25.361061538461534	ZSWIM5
ENST00000371839.6	0.0	0	0.6322117777777778	AGBL4
ENST00000371838.5	0.0	0	1.37042925	AGBL4
ENST00000371836.1	0.0	0	2.0	AGBL4
ENST00000493793.2	0.0028751598409174064	3	1043.42025	EPS15
ENST00000371730.6	0.0028751598409174064	3	1043.42025	EPS15
ENST00000371733.8	0.0028751598409174064	3	1043.42025	EPS15
ENST00000706287.1	0.002873151785256805	3	1044.1495	EPS15
ENST00000706288.1	0.0028724447808396443	3	1044.4065	EPS15
ENST00000706292.1	0.0028041491124984903	3	1069.84325	EPS15
ENST00000443012.1	0.0	0	0.812689	ENSG00000226883
ENST00000329654.8	0.0	0	2362.424235	PDE4B
ENST00000341517.9	0.0	0	2349.209235	PDE4B
ENST00000423207.6	0.0	0	2349.256377857143	PDE4B
ENST00000557284.7	0.0	0	1.6776766428571428	FPGT-TNNI3K
ENST00000370899.7	0.0	0	2.078871818181818	FPGT-TNNI3K
ENST00000326637.8	0.0	0	1.6776766428571428	TNNI3K
ENST00000328299.4	0.0	0	2.733205	ST6GALNAC3
ENST00000370801.8	0.0018336784010471038	1	545.3519	ZZZ3
ENST00000370798.5	0.0018046739973727555	1	554.1167	ZZZ3
ENST00000370721.5	0.0	0	0.0813025	ADGRL2
ENST00000370723.5	0.0	0	0.0813025	ADGRL2
ENST00000370725.5	0.0	0	0.0777676086956521	ADGRL2
ENST00000370727.5	0.0	0	0.0813025	ADGRL2
ENST00000370728.5	0.0	0	0.0813025	ADGRL2
ENST00000370730.5	0.0	0	0.0851740476190476	ADGRL2
ENST00000370571.7	0.0	0	4.1249275	COL24A1
ENST00000645056.1	0.0	0	0.6666666666666666	PKN2-AS1
ENST00000370192.8	0.04605793430164658	14	303.965	DPYD
ENST00000648951.1	0.0	0	14.009644444444444	LINC01709
ENST00000657394.1	0.0	0	11.483457142857144	LINC01709
ENST00000695767.1	0.0	0	5.555214944444445	PDE4DIP
ENST00000695768.1	0.0	0	36.928360943181815	PDE4DIP
ENST00000706647.1	0.0	0	38.420722011904765	PDE4DIP
ENST00000530472.5	0.0	0	6.536942416666667	PDE4DIP
ENST00000695794.1	0.0	0	35.54041707608695	PDE4DIP
ENST00000524974.5	0.0	0	36.21844545555555	PDE4DIP
ENST00000620605.4	0.0	0	3.197526	PDE4DIP
ENST00000585156.5	0.0	0	35.55601729347826	PDE4DIP
ENST00000670085.1	0.0	0	0.0632663	ENSG00000231424
ENST00000688173.1	0.0	0	5.836709	DNM3
ENST00000485254.3	0.0	0	12.824115	DNM3
ENST00000627582.3	0.0	0	10.571741428571428	DNM3
ENST00000355305.9	0.0	0	11.919241666666666	DNM3
ENST00000367731.5	0.0	0	12.333698333333333	DNM3
ENST00000520906.5	0.0	0	6.56948	DNM3
ENST00000432694.2	0.0	0	0.23958325	ENSG00000224228
ENST00000367649.8	0.0	0	0.095557	RASAL2
ENST00000696605.1	0.0	0	0.100451	RASAL2
ENST00000642319.1	0.028042688683916305	2	71.3198375	ACBD6
ENST00000367595.4	0.009995102399824086	2	200.098	ACBD6
ENST00000439633.7	2.04736282138062	2	0.976866425	LINC01350
ENST00000656143.1	0.04755530652426706	1	21.0281475	ENSG00000227240
ENST00000538004.5	0.005742604960462166	3	522.411	NEK7
ENST00000367385.9	0.003678810419862633	3	815.481	NEK7
ENST00000367007.5	0.0	0	0.5977282	KCNH1
ENST00000638498.1	0.0	0	0.6053262	KCNH1
ENST00000271751.10	0.0	0	0.2559225	KCNH1
ENST00000639952.1	0.0	0	0.25588	KCNH1
ENST00000640044.1	0.0	0	0.1088475	KCNH1
ENST00000640566.1	0.0	0	0.217695	KCNH1
ENST00000669535.1	0.0	0	1.492142	LYPLAL1-DT
ENST00000687117.1	0.0	0	1.73736	LYPLAL1-DT
ENST00000652067.1	0.0	0	0.0130719	ENSG00000236230
ENST00000343846.7	0.0	0	33.89245	SUSD4
ENST00000484758.6	0.0	0	33.8925	SUSD4
ENST00000366878.9	0.0	0	33.92528333333333	SUSD4
ENST00000494793.6	0.0	0	30.137445	SUSD4
ENST00000681669.1	0.0	0	33.92528333333333	SUSD4
ENST00000681305.1	0.0	0	33.92528333333333	SUSD4
ENST00000681285.1	0.0	0	33.984383333333334	SUSD4
ENST00000680429.1	0.0	0	33.98748333333333	SUSD4
ENST00000344029.6	0.0	0	45.11566666666667	SUSD4
ENST00000366669.9	0.014794903431939226	4	270.36337333333336	COG2
ENST00000366668.7	0.014787486808945623	4	270.4989733333333	COG2
ENST00000534989.1	0.014794647336046213	4	270.3680533333333	COG2
ENST00000602956.5	0.0	0	188.31585	TSNAX-DISC1
ENST00000439617.8	0.0	0	76.3478	DISC1
ENST00000628350.2	0.0	0	22.1196	DISC1
ENST00000535983.5	0.0	0	67.8665	DISC1
ENST00000366637.8	0.0	0	79.78355	DISC1
ENST00000622252.4	0.0	0	76.35415	DISC1
ENST00000536534.7	0.0	0	0.00841988	PLD5
ENST00000427495.5	0.0	0	0.0347826	PLD5
ENST00000442594.6	0.0	0	0.0347826	PLD5
ENST00000407071.7	2.0197514184209275	1	0.4951104333333333	KIF26B
ENST00000630181.2	0.0	0	109.958	SMYD3
ENST00000490107.6	0.0	0	110.802	SMYD3
ENST00000648019.1	0.0	0	0.2854513333333333	ENSG00000293331
ENST00000337495.9	0.017344237077042437	2	115.31207692307692	SCMH1
ENST00000372596.5	0.018078013990704158	2	110.63162142857142	SCMH1
ENST00000372597.5	0.017817596603582325	2	112.24858461538462	SCMH1
ENST00000695335.1	0.018501931634701825	2	108.09682142857145	SCMH1
ENST00000695336.1	0.03787343801656805	2	52.80745833333334	SCMH1
ENST00000606738.3	0.0	0	0.01075268	TRABD2B
ENST00000371847.8	0.0	0	16.7288	SPATA6
ENST00000396199.7	0.0	0	16.729595	SPATA6
ENST00000371843.7	0.0	0	20.04845	SPATA6
ENST00000287727.8	0.0	0	19.95736677777778	ZFYVE9
ENST00000371591.2	0.0	0	21.155481684210525	ZFYVE9
ENST00000357206.6	0.0	0	20.55964423529412	ZFYVE9
ENST00000371218.8	0.0	0	12.958188	FGGY
ENST00000303721.12	0.0	0	12.929598	FGGY
ENST00000371212.5	0.0	0	12.939548	FGGY
ENST00000371210.1	0.0	0	12.939548	FGGY
ENST00000371059.7	0.0	0	48.141945647058826	LEPR
