name	index_SRX	outlier	mean_ER_index	delta	gene
ENST00000294671.3	0.0	False	inf	inf	GBP7
ENST00000784564.1	0.2653334396433182	False	0.5462233553820462	0.28088991573872807	GBP1P1
ENST00000513638.5	0.495289087334194	False	1.6386700661461382	1.1433809788119442	GBP1P1
ENST00000782610.1	0.0	False	0.1365558388455115	0.1365558388455115	SLC44A3-AS1
ENST00000782607.1	0.0	False	0.1092446710764092	0.1092446710764092	SLC44A3-AS1
ENST00000782608.1	0.0	False	0.18207445179401535	0.18207445179401535	SLC44A3-AS1
ENST00000782605.1	0.0	False	0.1365558388455115	0.1365558388455115	SLC44A3-AS1
ENST00000782601.1	0.0	False	0.18207445179401535	0.18207445179401535	SLC44A3-AS1
ENST00000635408.2	0.0	False	0.1092446710764092	0.1092446710764092	SLC44A3-AS1
ENST00000782596.1	0.0	False	0.18207445179401535	0.18207445179401535	SLC44A3-AS1
ENST00000782595.1	0.0	False	0.1365558388455115	0.1365558388455115	SLC44A3-AS1
ENST00000635440.1	0.0	False	0.1092446710764092	0.1092446710764092	SLC44A3-AS1
ENST00000634937.1	0.0	False	0.1092446710764092	0.1092446710764092	SLC44A3-AS1
ENST00000634339.1	0.0	False	0.1092446710764092	0.1092446710764092	SLC44A3-AS1
ENST00000634861.1	0.0	False	0.18207445179401535	0.18207445179401535	SLC44A3-AS1
ENST00000667138.1	14.85867262002582	False	inf	inf	WARS2-AS1
ENST00000715919.1	4.95289087334194	False	inf	inf	WARS2-AS1
ENST00000685192.2	3.714668155006455	False	inf	inf	WARS2-AS1
ENST00000413531.5	3.714668155006455	False	inf	inf	WARS2-AS1
ENST00000418015.1	4.95289087334194	False	inf	inf	WARS2-AS1
ENST00000368059.7	0.0062326646896081	False	0.18947891466173294	0.18324624997212485	SLAMF6
ENST00000368057.8	0.0062431397563133	False	0.18947891466173294	0.18323577490541965	SLAMF6
ENST00000368055.1	0.0058962986587404	False	0.25263855288231063	0.24674225422357024	SLAMF6
ENST00000824121.1	0.0	False	1.5158313172938633	1.5158313172938633	LINC02773
ENST00000824117.1	0.0	False	1.5158313172938633	1.5158313172938633	LINC02773
ENST00000470448.5	0.0	False	0.1263192764411553	0.1263192764411553	SPATA17
ENST00000628350.2	0.0	True	0.652069507014489	0.652069507014489	DISC1
ENST00000767219.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767220.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767221.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767222.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767223.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767224.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767225.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767226.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767227.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767228.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000629439.2	0.0	False	inf	inf	CYP1B1-AS1
ENST00000657397.2	0.0	False	inf	inf	CYP1B1-AS1
ENST00000589303.6	0.0	False	inf	inf	CYP1B1-AS1
ENST00000629547.3	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767229.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767230.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767233.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767234.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767235.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767236.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000628165.3	0.0	False	inf	inf	CYP1B1-AS1
ENST00000626865.3	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767237.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767238.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000627172.3	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767239.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000626456.3	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767240.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767241.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000628238.3	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767242.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000585654.3	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767244.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767245.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000767246.1	0.0	False	inf	inf	CYP1B1-AS1
ENST00000659562.1	0.0	True	0.34367577877931826	0.34367577877931826	MAP4K3-DT
ENST00000667600.1	0.0	True	0.41241093453518196	0.41241093453518196	MAP4K3-DT
ENST00000451547.2	0.0	True	0.5155136681689775	0.5155136681689775	MAP4K3-DT
ENST00000671403.1	0.0	True	0.25775683408448863	0.25775683408448863	MAP4K3-DT
ENST00000658319.1	0.0	True	0.5155136681689775	0.5155136681689775	MAP4K3-DT
ENST00000425775.3	0.0	True	0.34367577877931826	0.34367577877931826	MAP4K3-DT
ENST00000658048.1	0.0	True	0.5155136681689775	0.5155136681689775	MAP4K3-DT
ENST00000827214.1	0.0	True	0.1556183629784653	0.1556183629784653	MAP4K3-DT
ENST00000449569.6	0.0	False	0.3306704607940315	0.3306704607940315	MAP4K3-DT
ENST00000658057.2	0.0	False	0.3306704607940315	0.3306704607940315	MAP4K3-DT
ENST00000662313.1	0.0	True	0.34367577877931826	0.34367577877931826	MAP4K3-DT
ENST00000668952.1	0.0	True	0.34367577877931826	0.34367577877931826	MAP4K3-DT
ENST00000438649.5	0.0	True	0.1311543476896695	0.1311543476896695	MAP4K3-DT
ENST00000827216.1	0.0	True	0.21986105115214205	0.21986105115214205	MAP4K3-DT
ENST00000827217.1	0.0	True	0.25775683408448863	0.25775683408448863	MAP4K3-DT
ENST00000418505.3	3.714668155006455	False	inf	inf	ANKMY1
ENST00000490481.1	0.1969899779170089	False	0.3375053930562203	0.1405154151392114	CFAP44
ENST00000295872.8	0.5400758665080306	False	0.8342958148034505	0.29421994829541986	SPICE1
ENST00000496105.1	0.4573615446104043	False	0.9887649243466347	0.5314033797362303	SPICE1
ENST00000611639.4	0.0	False	0.39420348935578037	0.39420348935578037	ALG1L1P
ENST00000506254.5	0.0	False	0.273111677691023	0.273111677691023	NMNAT3
ENST00000296202.12	0.0	False	0.18207445179401535	0.18207445179401535	NMNAT3
ENST00000704800.1	0.0	False	0.18207445179401535	0.18207445179401535	NMNAT3
ENST00000339837.9	0.0	False	0.18207445179401535	0.18207445179401535	NMNAT3
ENST00000413939.6	0.0	False	0.273111677691023	0.273111677691023	NMNAT3
ENST00000645290.1	0.0	False	0.273111677691023	0.273111677691023	NMNAT3
ENST00000511444.5	0.0	False	0.18207445179401535	0.18207445179401535	NMNAT3
ENST00000512391.5	0.0	False	0.18207445179401535	0.18207445179401535	NMNAT3
ENST00000645507.1	0.0	False	0.273111677691023	0.273111677691023	NMNAT3
ENST00000647257.1	0.0	False	0.273111677691023	0.273111677691023	NMNAT3
ENST00000509291.5	0.0	False	0.1365558388455115	0.1365558388455115	NMNAT3
ENST00000503585.6	0.0825481812223656	False	0.3075845569389882	0.22503637571662258	PACRGL
ENST00000682413.1	0.0	False	0.273111677691023	0.273111677691023	KIAA0825
ENST00000703867.1	0.0	False	0.273111677691023	0.273111677691023	KIAA0825
ENST00000513200.7	0.0	False	0.273111677691023	0.273111677691023	KIAA0825
ENST00000329378.7	0.0	False	0.273111677691023	0.273111677691023	KIAA0825
ENST00000517913.5	0.0	False	0.273111677691023	0.273111677691023	SGCD
ENST00000435422.7	0.0	False	0.1365558388455115	0.1365558388455115	SGCD
ENST00000337851.9	0.0	False	0.1365558388455115	0.1365558388455115	SGCD
ENST00000524171.5	0.0116813463993913	False	0.1170478618675813	0.10536651546819001	C5orf58
ENST00000517575.4	0.0179452567874707	False	0.40966751653653455	0.39172225974906383	C5orf58
ENST00000515323.5	0.386944599479839	False	0.7237664479174396	0.3368218484376006	FAM135A
ENST00000505868.1	0.3095556795838712	False	0.4292178070084757	0.11966212742460453	FAM135A
ENST00000393299.6	0.4127409061118283	False	0.7612214576494504	0.3484805515376221	FAM135A
