name	count_reads_SRX	count_reads_ER14	count_reads_ER23	count_reads_ER16	count_reads_ER18	count_reads_ER17	count_reads_ER21	count_reads_ER13	count_reads_ER22	count_reads_ER15	count_reads_ER19	count_reads_ER12	count_reads_ER20	gene
ENST00000370859.8	0	0	0	0	0	0	0	0	0	0	0	0	0	SLC44A5
ENST00000370855.5	0	0	0	0	0	0	0	0	0	0	0	0	0	SLC44A5
ENST00000370360.8	54	11	12	19	7	7	10	8	9	12	8	29	14	GLMN
ENST00000367669.8	23	1	4	3	0	0	4	4	1	3	5	7	2	COP1
ENST00000308769.12	23	1	4	3	0	0	4	4	1	3	5	7	2	COP1
ENST00000303635.12	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMTA1
ENST00000700415.1	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMTA1
ENST00000476864.2	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMTA1
ENST00000700417.1	0	0	0	0	0	0	0	0	0	0	0	0	0	CAMTA1
ENST00000636203.1	0	0	0	0	0	0	0	0	0	0	0	0	0	KAZN
ENST00000359600.6	2	0	0	0	0	0	0	0	0	0	0	0	0	ZSWIM5
ENST00000371839.6	0	0	0	0	0	0	0	0	0	0	0	0	0	AGBL4
ENST00000371838.5	0	0	0	0	0	0	0	0	0	0	0	0	0	AGBL4
ENST00000493793.2	3	0	0	0	0	0	0	0	0	0	0	2	0	EPS15
ENST00000371730.6	3	0	0	0	0	0	0	0	0	0	0	2	0	EPS15
ENST00000371733.8	3	0	0	0	0	0	0	0	0	0	0	2	0	EPS15
ENST00000706287.1	3	0	0	0	0	0	0	0	0	0	0	2	0	EPS15
ENST00000706288.1	3	0	0	0	0	0	0	0	0	0	0	2	0	EPS15
ENST00000706292.1	3	0	0	0	0	0	0	0	0	0	0	2	0	EPS15
ENST00000329654.8	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4B
ENST00000341517.9	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4B
ENST00000423207.6	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4B
ENST00000328299.4	0	0	0	0	0	0	0	0	0	0	0	0	0	ST6GALNAC3
ENST00000370801.8	1	0	0	0	0	0	0	0	0	0	0	0	0	ZZZ3
ENST00000370798.5	1	0	0	0	0	0	0	0	0	0	0	0	0	ZZZ3
ENST00000370721.5	0	0	0	0	0	0	0	0	0	0	0	0	0	ADGRL2
ENST00000370723.5	0	0	0	0	0	0	0	0	0	0	0	0	0	ADGRL2
ENST00000370725.5	0	0	0	0	0	0	0	0	0	0	0	0	0	ADGRL2
ENST00000370727.5	0	0	0	0	0	0	0	0	0	0	0	0	0	ADGRL2
ENST00000370728.5	0	0	0	0	0	0	0	0	0	0	0	0	0	ADGRL2
ENST00000370730.5	0	0	0	0	0	0	0	0	0	0	0	0	0	ADGRL2
ENST00000370571.7	0	0	0	0	0	0	0	0	0	0	0	0	0	COL24A1
ENST00000370192.8	14	0	0	0	0	0	0	0	0	0	0	0	0	DPYD
ENST00000695767.1	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4DIP
ENST00000695768.1	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4DIP
ENST00000706647.1	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4DIP
ENST00000530472.5	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4DIP
ENST00000695794.1	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4DIP
ENST00000524974.5	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4DIP
ENST00000585156.5	0	0	0	0	0	0	0	0	0	0	0	0	0	PDE4DIP
ENST00000485254.3	0	0	0	0	0	0	0	0	0	0	0	0	0	DNM3
ENST00000627582.3	0	0	0	0	0	0	0	0	0	0	0	0	0	DNM3
ENST00000367731.5	0	0	0	0	0	0	0	0	0	0	0	0	0	DNM3
ENST00000367649.8	0	0	0	5	1	1	1	1	0	1	1	4	0	RASAL2
ENST00000696605.1	0	0	0	5	1	1	1	1	0	1	1	4	0	RASAL2
ENST00000642319.1	2	0	0	0	0	0	0	0	0	0	0	0	0	ACBD6
ENST00000367595.4	2	0	0	0	0	0	0	0	0	0	0	0	0	ACBD6
ENST00000538004.5	3	0	1	0	2	0	0	1	0	0	0	0	0	NEK7
ENST00000367385.9	3	0	1	0	2	0	0	1	0	0	0	0	0	NEK7
ENST00000271751.10	0	0	0	0	0	0	0	0	0	0	0	0	0	KCNH1
ENST00000639952.1	0	0	0	0	0	0	0	0	0	0	0	0	0	KCNH1
ENST00000343846.7	0	0	0	0	0	0	0	0	0	0	0	0	0	SUSD4
ENST00000484758.6	0	0	0	0	0	0	0	0	0	0	0	0	0	SUSD4
ENST00000366878.9	0	0	0	0	0	0	0	0	0	0	0	0	0	SUSD4
ENST00000681669.1	0	0	0	0	0	0	0	0	0	0	0	0	0	SUSD4
ENST00000681305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	SUSD4
ENST00000681285.1	0	0	0	0	0	0	0	0	0	0	0	0	0	SUSD4
ENST00000680429.1	0	0	0	0	0	0	0	0	0	0	0	0	0	SUSD4
ENST00000366669.9	4	0	0	0	0	0	0	0	0	0	0	0	0	COG2
ENST00000366668.7	4	0	0	0	0	0	0	0	0	0	0	0	0	COG2
ENST00000534989.1	4	0	0	0	0	0	0	0	0	0	0	0	0	COG2
ENST00000602956.5	0	0	0	0	0	0	0	0	0	0	0	1	0	TSNAX-DISC1
ENST00000439617.8	0	0	0	0	0	0	0	1	0	0	0	1	0	DISC1
ENST00000628350.2	0	0	0	0	0	0	0	1	0	0	0	1	0	DISC1
ENST00000535983.5	0	0	0	0	0	0	0	1	0	0	0	1	0	DISC1
ENST00000366637.8	0	0	0	0	0	0	0	1	0	0	0	1	0	DISC1
ENST00000622252.4	0	0	0	0	0	0	0	1	0	0	0	1	0	DISC1
ENST00000630181.2	0	0	0	0	0	0	0	0	0	0	1	0	0	SMYD3
ENST00000490107.6	0	0	0	0	0	0	0	0	0	0	1	0	0	SMYD3
ENST00000337495.9	2	0	0	0	0	0	0	0	0	0	0	0	0	SCMH1
ENST00000372596.5	2	0	0	0	0	0	0	0	0	0	0	0	0	SCMH1
ENST00000372597.5	2	0	0	0	0	0	0	0	0	0	0	0	0	SCMH1
ENST00000695335.1	2	0	0	0	0	0	0	0	0	0	0	0	0	SCMH1
ENST00000695336.1	2	0	0	0	0	0	0	0	0	0	0	0	0	SCMH1
ENST00000606738.3	0	0	0	0	0	0	0	0	0	0	0	0	0	TRABD2B
ENST00000371847.8	0	0	0	0	0	0	0	0	0	0	0	0	0	SPATA6
ENST00000396199.7	0	0	0	0	0	0	0	0	0	0	0	0	0	SPATA6
ENST00000371843.7	0	0	0	0	0	0	0	0	0	0	0	0	0	SPATA6
ENST00000287727.8	0	0	0	0	0	0	0	0	0	0	0	1	0	ZFYVE9
ENST00000371591.2	0	0	0	0	0	0	0	0	0	0	0	1	0	ZFYVE9
ENST00000357206.6	0	0	0	0	0	0	0	0	0	0	0	1	0	ZFYVE9
ENST00000371218.8	0	0	0	0	0	0	0	0	0	0	0	0	0	FGGY
ENST00000303721.12	0	0	0	0	0	0	0	0	0	0	0	0	0	FGGY
