name	index	count_reads	coverage_after	gene
ENST00000373381.9	0.0	0	0.0586543717391304	CSMD2
ENST00000619121.4	0.0	0	0.0586549891304347	CSMD2
ENST00000373388.7	0.0	0	0.0640917444444444	CSMD2
ENST00000370859.8	0.0	0	22.117994444444445	SLC44A5
ENST00000370855.5	0.0	0	19.473011111111116	SLC44A5
ENST00000370360.8	0.3787286818195867	29	76.57196666666667	GLMN
ENST00000431862.1	0.0	0	0.5868763333333333	ENSG00000228560
ENST00000367669.8	0.06958354249814858	7	100.5985	COP1
ENST00000308769.12	0.08809017665541105	7	79.46402499999999	COP1
ENST00000303635.12	0.0	0	1.936840055555556	CAMTA1
ENST00000700415.1	0.0	0	1.910717947368421	CAMTA1
ENST00000476864.2	0.0	0	2.133157117647059	CAMTA1
ENST00000700417.1	0.0	0	2.2679356875	CAMTA1
ENST00000636203.1	0.0	0	28.15884086666667	KAZN
ENST00000359600.6	0.0	0	3.7299631538461537	ZSWIM5
ENST00000371839.6	0.0	0	2.6454244444444446	AGBL4
ENST00000371838.5	0.0	0	2.08109275	AGBL4
ENST00000371836.1	0.0	0	2.0067195	AGBL4
ENST00000493793.2	0.008695226863903397	2	230.01125	EPS15
ENST00000371730.6	0.008695226863903397	2	230.01125	EPS15
ENST00000371733.8	0.008695226863903397	2	230.01125	EPS15
ENST00000706287.1	0.008678766313368554	2	230.4475	EPS15
ENST00000706288.1	0.008672961068161884	2	230.60175	EPS15
ENST00000706292.1	0.008113993494605716	2	246.48775	EPS15
ENST00000443012.1	0.0	0	0.518127	ENSG00000226883
ENST00000635290.1	0.0	0	2.355687333333333	ENSG00000231252
ENST00000634701.1	0.0	0	1.1605893333333333	ENSG00000231252
ENST00000329654.8	0.0	0	43.26631	PDE4B
ENST00000341517.9	0.0	0	42.97615285714286	PDE4B
ENST00000423207.6	0.0	0	42.97828857142857	PDE4B
ENST00000420587.5	0.11975665516103652	3	25.050799857142856	GNG12-AS1
ENST00000413628.5	0.12286189669595625	3	24.41765983333333	GNG12-AS1
ENST00000557284.7	0.0	0	0.4340976428571428	FPGT-TNNI3K
ENST00000370899.7	0.0	0	0.6153770909090909	FPGT-TNNI3K
ENST00000326637.8	0.0	0	0.4340976428571428	TNNI3K
ENST00000328299.4	0.0	0	3.123805	ST6GALNAC3
ENST00000370801.8	0.0	0	85.59637000000001	ZZZ3
ENST00000370798.5	0.0	0	90.67376	ZZZ3
ENST00000370721.5	0.0	0	98.574697	ADGRL2
ENST00000370723.5	0.0	0	98.41601518181818	ADGRL2
ENST00000370725.5	0.0	0	94.9261884347826	ADGRL2
ENST00000370727.5	0.0	0	99.04975654545454	ADGRL2
ENST00000370728.5	0.0	0	98.53783336363637	ADGRL2
ENST00000370730.5	0.0	0	103.02974495238097	ADGRL2
ENST00000370571.7	0.0	0	2.13492025	COL24A1
ENST00000645056.1	0.0	0	0.0172	PKN2-AS1
ENST00000370192.8	0.0	0	24.893228571428573	DPYD
ENST00000648951.1	0.0	0	15.07571111111111	LINC01709
ENST00000657394.1	0.0	0	12.144814285714286	LINC01709
ENST00000695767.1	0.0	0	191.27760777777775	PDE4DIP
ENST00000695768.1	0.0	0	182.36142227272728	PDE4DIP
ENST00000706647.1	0.0	0	196.04787380952385	PDE4DIP
ENST00000530472.5	0.0	0	222.17196666666663	PDE4DIP
ENST00000695794.1	0.0	0	182.4739734782609	PDE4DIP
ENST00000524974.5	0.0	0	185.19991066666665	PDE4DIP
ENST00000620605.4	0.0	0	124.8147	PDE4DIP
ENST00000585156.5	0.0	0	182.63839304347823	PDE4DIP
ENST00000650631.1	0.0	0	25.687094	LINC00970
ENST00000715525.1	0.0	0	24.349514285714285	LINC00970
ENST00000715526.1	0.0	0	30.58123	LINC00970
ENST00000715529.1	0.0	0	0.2233849999999999	LINC00970
ENST00000670085.1	3.108234957696922	1	0.321726	ENSG00000231424
ENST00000688173.1	0.0	0	0.3423425	DNM3
ENST00000485254.3	0.0	0	0.8232903333333333	DNM3
ENST00000627582.3	0.0	0	0.844896	DNM3
ENST00000355305.9	0.0	0	0.8232903333333333	DNM3
ENST00000367731.5	0.0	0	0.985712	DNM3
ENST00000520906.5	0.0	0	0.3978545	DNM3
ENST00000367649.8	0.07081837000190501	4	56.48252	RASAL2
ENST00000696605.1	0.0712969521622405	4	56.10338	RASAL2
ENST00000642319.1	0.0	0	126.6143	ACBD6
ENST00000367595.4	0.0	0	267.351	ACBD6
ENST00000656143.1	0.0	0	0.2286072499999999	ENSG00000227240
ENST00000538004.5	0.0	0	310.098	NEK7
ENST00000367385.9	0.0	0	297.383	NEK7
ENST00000367007.5	0.0	0	0.5860264	KCNH1
ENST00000638498.1	0.0	0	0.5877536	KCNH1
